words,sen_len,tree_depth,top_const,tense,subjnum,objnum
Did,2,7,2,1,1,1
you,2,7,2,1,1,1
have,2,7,2,1,1,1
to,2,7,2,1,1,1
buy,2,7,2,1,1,1
a,2,7,2,1,1,1
four,2,7,2,1,1,1
hundred,2,7,2,1,1,1
dollar,2,7,2,1,1,1
bottle,2,7,2,1,1,1
of,2,7,2,1,1,1
Scotch.,2,7,2,1,1,1
Gary,1,5,1,2,1,1
waves,1,5,1,2,1,1
away,1,5,1,2,1,1
her,1,5,1,2,1,1
upset.,1,5,1,2,1,1
He,3,6,1,2,1,1
seems,3,6,1,2,1,1
distracted.,3,6,1,2,1,1
Guilty,3,6,2,1,1,1
of,3,6,2,1,1,1
something.,3,6,2,1,1,1
She,2,7,2,2,1,1
can,2,7,2,2,1,1
tell,2,7,2,2,1,1
by,2,7,2,2,1,1
the,2,7,2,2,1,1
way,2,7,2,2,1,1
he,2,7,2,2,1,1
avoids,2,7,2,2,1,1
her.,2,7,2,2,1,1
Clara,2,6,1,2,1,1
looks,2,6,1,2,1,1
at,2,6,1,2,1,1
her,2,6,1,2,1,1
face,2,6,1,2,1,1
in,2,6,1,2,1,1
the,2,6,1,2,1,1
hallway,2,6,1,2,1,1
mirror.,2,6,1,2,1,1
She's,1,7,1,2,1,1
thirty,1,7,1,2,1,1
three,1,7,1,2,1,1
years,1,7,1,2,1,1
old.,1,7,1,2,1,1
She's,1,7,1,2,1,2
slowly,1,7,1,2,1,2
getting,1,7,1,2,1,2
white,1,7,1,2,1,2
hairs,1,7,1,2,1,2
in,1,7,1,2,1,2
her,1,7,1,2,1,2
eyebrows.,1,7,1,2,1,2
She,3,5,1,2,1,1
feels,3,5,1,2,1,1
completely,3,5,1,2,1,1
alone.,3,5,1,2,1,1
Grad,2,7,1,2,1,1
students,2,7,1,2,1,1
fill,2,7,1,2,1,1
the,2,7,1,2,1,1
low,2,7,1,2,1,1
ceiling,2,7,1,2,1,1
"space,",2,7,1,2,1,1
chewing,2,7,1,2,1,1
big,2,7,1,2,1,1
words,2,7,1,2,1,1
and,2,7,1,2,1,1
gesticulating,2,7,1,2,1,1
emphatically.,2,7,1,2,1,1
Gary's,2,7,2,2,1,1
face,2,7,2,2,1,1
looks,2,7,2,2,1,1
up,2,7,2,2,1,1
from,2,7,2,2,1,1
the,2,7,2,2,1,1
photo,2,7,2,2,1,1
his,2,7,2,2,1,1
parents,2,7,2,2,1,1
have,2,7,2,2,1,1
framed,2,7,2,2,1,1
in,2,7,2,2,1,1
expensive,2,7,2,2,1,1
mahogany,2,7,2,2,1,1
"Elated,",2,7,2,2,1,1
"graduating,",2,7,2,2,1,1
cap,2,7,2,2,1,1
and,2,7,2,2,1,1
gown,2,7,2,2,1,1
and,2,7,2,2,1,1
all.,2,7,2,2,1,1
Toasts,2,7,2,1,2,2
and,2,7,2,1,2,2
more,2,7,2,1,2,2
toasts,2,7,2,1,2,2
to,2,7,2,1,2,2
our,2,7,2,1,2,2
Doctor,2,7,2,1,2,2
of,2,7,2,1,2,2
Philosophy.,2,7,2,1,2,2
Amazing,3,5,2,1,1,1
Art,3,5,2,1,1,1
Prodigy.,3,5,2,1,1,1
To,2,6,2,1,1,1
Gary,2,6,2,1,1,1
"Loisin,",2,6,2,1,1,1
Clara's,2,6,2,1,1,1
carefully,2,6,2,1,1,1
picked,2,6,2,1,1,1
Happy,2,6,2,1,1,1
Graduation,2,6,2,1,1,1
paper,2,6,2,1,1,1
banners,2,6,2,1,1,1
hang,2,6,2,1,1,1
too,2,6,2,1,1,1
low,2,6,2,1,1,1
from,2,6,2,1,1,1
the,2,6,2,1,1,1
adobe,2,6,2,1,1,1
doors.,2,6,2,1,1,1
People,2,7,1,2,2,2
have,2,7,1,2,2,2
to,2,7,1,2,2,2
duck,2,7,1,2,2,2
when,2,7,1,2,2,2
they,2,7,1,2,2,2
go,2,7,1,2,2,2
in,2,7,1,2,2,2
the,2,7,1,2,2,2
kitchen.,2,7,1,2,2,2
At,2,7,2,2,1,1
Seventy,2,7,2,2,1,1
fourth,2,7,2,2,1,1
and,2,7,2,2,1,1
"Columbus,",2,7,2,2,1,1
Apartment,2,7,2,2,1,1
nine,2,7,2,2,1,1
"D,",2,7,2,2,1,1
Steven,2,7,2,2,1,1
Perdue,2,7,2,2,1,1
watches,2,7,2,2,1,1
his,2,7,2,2,1,1
wife,2,7,2,2,1,1
get,2,7,2,2,1,1
ready,2,7,2,2,1,1
for,2,7,2,2,1,1
her,2,7,2,2,1,1
violin,2,7,2,2,1,1
lesson,2,7,2,2,1,1
black,2,7,2,2,1,1
"clothes,",2,7,2,2,1,1
pearl,2,7,2,2,1,1
"necklace,",2,7,2,2,1,1
her,2,7,2,2,1,1
"controlled,",2,7,2,2,1,1
quiet,2,7,2,2,1,1
elegance.,2,7,2,2,1,1
We,3,6,2,1,2,1
cannot,3,6,2,1,2,1
ignore,3,6,2,1,2,1
"this,",3,6,2,1,2,1
We,2,7,2,1,1,1
should,2,7,2,1,1,1
be,2,7,2,1,1,1
vigilant,2,7,2,1,1,1
"Steven,",2,7,2,1,1,1
Married,2,7,2,1,1,1
eight,2,7,2,1,1,1
years,2,7,2,1,1,1
he,2,7,2,1,1,1
still,2,7,2,1,1,1
can't,2,7,2,1,1,1
believe,2,7,2,1,1,1
his,2,7,2,1,1,1
good,2,7,2,1,1,1
luck.,2,7,2,1,1,1
"Steven,",3,5,2,2,1,1
are,3,5,2,2,1,1
you,3,5,2,2,1,1
listening.,3,5,2,2,1,1
"Yes,",3,5,2,1,1,1
"yes,",3,5,2,1,1,1
He,2,7,2,2,1,1
is,2,7,2,2,1,1
"listening,",2,7,2,2,1,1
Sasha,2,7,2,2,1,1
broke,2,7,2,2,1,1
up,2,7,2,2,1,1
with,2,7,2,2,1,1
this,2,7,2,2,1,1
guy,2,7,2,2,1,1
and,2,7,2,2,1,1
now,2,7,2,2,1,1
I'm,2,7,2,2,1,1
missing,2,7,2,2,1,1
ten,2,7,2,2,1,1
sleeping,2,7,2,2,1,1
pills.,2,7,2,2,1,1
Oh,3,5,2,1,1,1
God.,3,5,2,1,1,1
What,1,7,2,2,1,1
is,1,7,2,2,1,1
his,1,7,2,2,1,1
daughter,1,7,2,2,1,1
getting,1,7,2,2,1,1
into,1,7,2,2,1,1
again.,1,7,2,2,1,1
We,2,7,2,2,2,1
don't,2,7,2,2,2,1
want,2,7,2,2,2,1
a,2,7,2,2,2,1
repeat,2,7,2,2,2,1
of,2,7,2,2,2,1
last,2,7,2,2,2,1
"year,",2,7,2,2,2,1
There,2,7,2,2,2,1
is,2,7,2,2,2,1
an,2,7,2,2,2,1
edge,2,7,2,2,2,1
in,2,7,2,2,2,1
Margaret's,2,7,2,2,2,1
voice,2,7,2,2,2,1
This,1,5,2,1,1,1
girl,1,5,2,1,1,1
better,1,5,2,1,1,1
grow,1,5,2,1,1,1
upâ€¦,1,5,2,1,1,1
She,1,6,2,2,1,1
sounds,1,6,2,2,1,1
cold,1,6,2,2,1,1
and,1,6,2,2,1,1
he,1,6,2,2,1,1
notices.,1,6,2,2,1,1
Margaret,2,6,1,2,1,1
pauses,2,6,1,2,1,1
by,2,6,1,2,1,1
the,2,6,1,2,1,1
mirror,2,6,1,2,1,1
then,2,6,1,2,1,1
touches,2,6,1,2,1,1
her,2,6,1,2,1,1
neck.,2,6,1,2,1,1
She,3,5,1,2,1,1
hates,3,5,1,2,1,1
her,3,5,1,2,1,1
age.,3,5,1,2,1,1
She,1,7,1,2,1,1
hates,1,7,1,2,1,1
being,1,7,1,2,1,1
Sasha's,1,7,1,2,1,1
stepmother.,1,7,1,2,1,1
You,1,7,1,2,1,1
think,1,7,1,2,1,1
I,1,7,1,2,1,1
should,1,7,1,2,1,1
talk,1,7,1,2,1,1
to,1,7,1,2,1,1
"her,",1,7,1,2,1,1
Maggie.,1,7,1,2,1,1
Margaret,2,7,1,2,1,1
turns,2,7,1,2,1,1
and,2,7,1,2,1,1
wraps,2,7,1,2,1,1
her,2,7,1,2,1,1
arms,2,7,1,2,1,1
around,2,7,1,2,1,1
Steven's,2,7,1,2,1,1
stooped,2,7,1,2,1,1
frame.,2,7,1,2,1,1
He,1,7,1,2,1,1
looks,1,7,1,2,1,1
much,1,7,1,2,1,1
older,1,7,1,2,1,1
than,1,7,1,2,1,1
fifty.,1,7,1,2,1,1
She,1,7,2,2,1,1
doesn't,1,7,2,2,1,1
talk,1,7,2,2,1,1
to,1,7,2,2,1,1
"me,",1,7,2,2,1,1
Margaret,1,7,2,2,1,1
whispers.,1,7,2,2,1,1
So,1,7,2,2,1,1
"yes,",1,7,2,2,1,1
I,1,7,2,2,1,1
think,1,7,2,2,1,1
you,1,7,2,2,1,1
should,1,7,2,2,1,1
do,1,7,2,2,1,1
it.,1,7,2,2,1,1
She,3,5,1,2,1,1
stops.,3,5,1,2,1,1
I'll,1,7,2,2,1,1
be,1,7,2,2,1,1
home,1,7,2,2,1,1
late,1,7,2,2,1,1
"tonight,",1,7,2,2,1,1
she,1,7,2,2,1,1
adds.,1,7,2,2,1,1
She,2,7,2,2,1,1
wants,2,7,2,2,1,1
Steven,2,7,2,2,1,1
to,2,7,2,2,1,1
ask,2,7,2,2,1,1
"why,",2,7,2,2,1,1
but,2,7,2,2,1,1
he,2,7,2,2,1,1
doesn't.,2,7,2,2,1,1
The,1,6,2,2,1,1
Graduation,1,6,2,2,1,1
party,1,6,2,2,1,1
keeps,1,6,2,2,1,1
going.,1,6,2,2,1,1
Clara,2,7,2,2,1,1
stares,2,7,2,2,1,1
at,2,7,2,2,1,1
her,2,7,2,2,1,1
"husband,",2,7,2,2,1,1
once,2,7,2,2,1,1
the,2,7,2,2,1,1
most,2,7,2,2,1,1
handsome,2,7,2,2,1,1
man,2,7,2,2,1,1
in,2,7,2,2,1,1
the,2,7,2,2,1,1
room,2,7,2,2,1,1
Gary's,2,7,2,2,1,1
thirty,2,7,2,2,1,1
five,2,7,2,2,1,1
and,2,7,2,2,1,1
already,2,7,2,2,1,1
balding.,2,7,2,2,1,1
His,2,7,2,2,1,1
face,2,7,2,2,1,1
is,2,7,2,2,1,1
liquor,2,7,2,2,1,1
flushed,2,7,2,2,1,1
as,2,7,2,2,1,1
he,2,7,2,2,1,1
bends,2,7,2,2,1,1
over,2,7,2,2,1,1
a,2,7,2,2,1,1
four,2,7,2,2,1,1
month,2,7,2,2,1,1
old,2,7,2,2,1,1
baby,2,7,2,2,1,1
boy.,2,7,2,2,1,1
Son,3,5,2,1,1,1
of,3,5,2,1,1,1
friends.,3,5,2,1,1,1
His,3,5,2,1,1,1
"friends,",3,5,2,1,1,1
not,3,5,2,1,1,1
hers.,3,5,2,1,1,1
He,2,7,2,2,1,1
asks,2,7,2,2,1,1
to,2,7,2,2,1,1
hold,2,7,2,2,1,1
the,2,7,2,2,1,1
"boy,",2,7,2,2,1,1
and,2,7,2,2,1,1
Clara's,2,7,2,2,1,1
eyes,2,7,2,2,1,1
melt.,2,7,2,2,1,1
In,2,6,2,2,1,1
an,2,6,2,2,1,1
alternate,2,6,2,2,1,1
universe,2,6,2,2,1,1
this,2,6,2,2,1,1
boy,2,6,2,2,1,1
would,2,6,2,2,1,1
be,2,6,2,2,1,1
theirs.,2,6,2,2,1,1
Gary's,2,7,2,2,1,1
"awkward,",2,7,2,2,1,1
the,2,7,2,2,1,1
baby,2,7,2,2,1,1
starts,2,7,2,2,1,1
crying,2,7,2,2,1,1
and,2,7,2,2,1,1
everyone,2,7,2,2,1,1
"laughs,",2,7,2,2,1,1
You're,1,6,1,2,1,1
not,1,6,1,2,1,1
daddy,1,6,1,2,1,1
"material,",1,6,1,2,1,1
man.,1,6,1,2,1,1
Clara,2,7,1,1,1,1
can,2,7,1,1,1,1
see,2,7,1,1,1,1
the,2,7,1,1,1,1
back,2,7,1,1,1,1
of,2,7,1,1,1,1
Gary's,2,7,1,1,1,1
neck;,2,7,1,1,1,1
all,2,7,1,1,1,1
red.,2,7,1,1,1,1
"Embarrassed,",3,5,2,1,1,1
but,3,5,2,1,1,1
hiding,3,5,2,1,1,1
it.,3,5,2,1,1,1
She,3,5,1,2,1,1
knows,3,5,1,2,1,1
this,3,5,1,2,1,1
neck.,3,5,1,2,1,1
Has,1,7,2,2,1,1
studied,1,7,2,2,1,1
it,1,7,2,2,1,1
each,1,7,2,2,1,1
night,1,7,2,2,1,1
for,1,7,2,2,1,1
ten,1,7,2,2,1,1
years.,1,7,2,2,1,1
And,2,7,2,2,1,1
Clara,2,7,2,2,1,1
is,2,7,2,2,1,1
suddenly,2,7,2,2,1,1
filled,2,7,2,2,1,1
with,2,7,2,2,1,1
the,2,7,2,2,1,1
need,2,7,2,2,1,1
to,2,7,2,2,1,1
protect,2,7,2,2,1,1
him.,2,7,2,2,1,1
She,2,7,1,2,1,1
puts,2,7,1,2,1,1
her,2,7,1,2,1,1
hand,2,7,1,2,1,1
on,2,7,1,2,1,1
the,2,7,1,2,1,1
small,2,7,1,2,1,1
of,2,7,1,2,1,1
his,2,7,1,2,1,1
"back,",2,7,1,2,1,1
hoping,2,7,1,2,1,1
he'd,2,7,1,2,1,1
turn.,2,7,1,2,1,1
The,1,5,1,2,1,1
baby's,1,5,1,2,1,1
father,1,5,1,2,1,1
steps,1,5,1,2,1,1
up.,1,5,1,2,1,1
"So,",1,7,2,2,1,1
is,1,7,2,2,1,1
it,1,7,2,2,1,1
time,1,7,2,2,1,1
to,1,7,2,2,1,1
open,1,7,2,2,1,1
that,1,7,2,2,1,1
Scotch.,1,7,2,2,1,1
"Clara,",1,7,2,2,1,1
you're,1,7,2,2,1,1
moving,1,7,2,2,1,1
to,1,7,2,2,1,1
New,1,7,2,2,1,1
York,1,7,2,2,1,1
too.,1,7,2,2,1,1
Going,3,7,2,1,1,1
where,3,7,2,1,1,1
doing,3,7,2,1,1,1
what.,3,7,2,1,1,1
Clara,2,7,2,2,1,1
looks,2,7,2,2,1,1
at,2,7,2,2,1,1
Gary,2,7,2,2,1,1
confused,2,7,2,2,1,1
and,2,7,2,2,1,1
he,2,7,2,2,1,1
"smiles,",2,7,2,2,1,1
past,2,7,2,2,1,1
her,2,7,2,2,1,1
to,2,7,2,2,1,1
the,2,7,2,2,1,1
crowd.,2,7,2,2,1,1
He's,1,7,1,2,1,1
basking,1,7,1,2,1,1
in,1,7,1,2,1,1
the,1,7,1,2,1,1
glory,1,7,1,2,1,1
of,1,7,1,2,1,1
something.,1,7,1,2,1,1
"Tommy,",2,7,2,2,1,1
the,2,7,2,2,1,1
baby's,2,7,2,2,1,1
"father,",2,7,2,2,1,1
looks,2,7,2,2,1,1
at,2,7,2,2,1,1
Clara's,2,7,2,2,1,1
face,2,7,2,2,1,1
and,2,7,2,2,1,1
takes,2,7,2,2,1,1
a,2,7,2,2,1,1
step,2,7,2,2,1,1
back,2,7,2,2,1,1
Oh,2,7,2,2,1,1
man.,2,7,2,2,1,1
Did,1,5,2,1,1,1
I,1,5,2,1,1,1
blow,1,5,2,1,1,1
the,1,5,2,1,1,1
surprise.,1,5,2,1,1,1
I'm,3,5,1,2,1,1
so,3,5,1,2,1,1
sorryâ€¦,3,5,1,2,1,1
You,1,6,2,2,2,2
guys,1,6,2,2,2,2
are,1,6,2,2,2,2
into,1,6,2,2,2,2
bullshit,1,6,2,2,2,2
drama,1,6,2,2,2,2
again.,1,6,2,2,2,2
I,1,7,2,2,1,1
just,1,7,2,2,1,1
like,1,7,2,2,1,1
to,1,7,2,2,1,1
sleep,1,7,2,2,1,1
deeply,1,7,2,2,1,1
these,1,7,2,2,1,1
days.,1,7,2,2,1,1
That's,3,5,1,2,1,1
all.,3,5,1,2,1,1
Sasha,2,7,1,2,1,1
strides,2,7,1,2,1,1
up,2,7,1,2,1,1
to,2,7,1,2,1,1
her,2,7,1,2,1,1
dad,2,7,1,2,1,1
and,2,7,1,2,1,1
opens,2,7,1,2,1,1
her,2,7,1,2,1,1
palm.,2,7,1,2,1,1
The,2,7,2,2,1,1
ten,2,7,2,2,1,1
white,2,7,2,2,1,1
sleeping,2,7,2,2,1,1
pills,2,7,2,2,1,1
stare,2,7,2,2,1,1
at,2,7,2,2,1,1
"him,",2,7,2,2,1,1
an,2,7,2,2,1,1
act,2,7,2,2,1,1
of,2,7,2,2,1,1
defiance.,2,7,2,2,1,1
I,1,7,2,2,1,1
certainly,1,7,2,2,1,1
don't,1,7,2,2,1,1
need,1,7,2,2,1,1
you,1,7,2,2,1,1
guys,1,7,2,2,1,1
freaking,1,7,2,2,1,1
outâ€¦,1,7,2,2,1,1
Sasha,2,7,1,2,1,1
watches,2,7,1,2,1,1
her,2,7,1,2,1,1
dad,2,7,1,2,1,1
flush,2,7,1,2,1,1
the,2,7,1,2,1,1
pills,2,7,1,2,1,1
down,2,7,1,2,1,1
the,2,7,1,2,1,1
toilet.,2,7,1,2,1,1
You,2,7,1,1,2,2
should,2,7,1,1,2,2
have,2,7,1,1,2,2
put,2,7,1,1,2,2
them,2,7,1,1,2,2
back,2,7,1,1,2,2
in,2,7,1,1,2,2
the,2,7,1,1,2,2
pill,2,7,1,1,2,2
box.,2,7,1,1,2,2
Of,2,7,2,2,1,1
course,2,7,2,2,1,1
Sasha's,2,7,2,2,1,1
right,2,7,2,2,1,1
and,2,7,2,2,1,1
now,2,7,2,2,1,1
his,2,7,2,2,1,1
gesture,2,7,2,2,1,1
of,2,7,2,2,1,1
closure,2,7,2,2,1,1
feels,2,7,2,2,1,1
stupid.,2,7,2,2,1,1
He,2,7,2,2,1,1
puts,2,7,2,2,1,1
his,2,7,2,2,1,1
hand,2,7,2,2,1,1
on,2,7,2,2,1,1
her,2,7,2,2,1,1
shoulder,2,7,2,2,1,1
but,2,7,2,2,1,1
she,2,7,2,2,1,1
wiggles,2,7,2,2,1,1
away.,2,7,2,2,1,1
So,1,6,2,2,1,1
how,1,6,2,2,1,1
do,1,6,2,2,1,1
you,1,6,2,2,1,1
sleep,1,6,2,2,1,1
these,1,6,2,2,1,1
days,1,6,2,2,1,1
dad.,1,6,2,2,1,1
He,3,5,1,2,1,1
turns,3,5,1,2,1,1
on,3,5,1,2,1,1
CNN.,3,5,1,2,1,1
Have,1,5,2,2,1,1
you,1,5,2,2,1,1
told,1,5,2,2,1,1
Margaret,1,5,2,2,1,1
yet.,1,5,2,2,1,1
Steven,1,6,1,2,1,1
stares,1,6,1,2,1,1
at,1,6,1,2,1,1
the,1,6,1,2,1,1
TV,1,6,1,2,1,1
and,1,6,1,2,1,1
carnage.,1,6,1,2,1,1
You,2,7,2,2,1,1
haven't,2,7,2,2,1,1
told,2,7,2,2,1,1
my,2,7,2,2,1,1
stepmother,2,7,2,2,1,1
you've,2,7,2,2,1,1
lost,2,7,2,2,1,1
all,2,7,2,2,1,1
your,2,7,2,2,1,1
money.,2,7,2,2,1,1
That,1,7,2,2,2,2
your,1,7,2,2,2,2
stocks,1,7,2,2,2,2
have,1,7,2,2,2,2
all,1,7,2,2,2,2
tanked.,1,7,2,2,2,2
That,2,7,2,1,1,1
I,2,7,2,1,1,1
might,2,7,2,1,1,1
have,2,7,2,1,1,1
to,2,7,2,1,1,1
drop,2,7,2,1,1,1
out,2,7,2,1,1,1
of,2,7,2,1,1,1
college.,2,7,2,1,1,1
On,2,7,2,2,1,1
the,2,7,2,2,1,1
TV,2,7,2,2,1,1
the,2,7,2,2,1,1
Middle,2,7,2,2,1,1
"East,",2,7,2,2,1,1
"India,",2,7,2,2,1,1
"Wars,",2,7,2,2,1,1
"Earthquakes,",2,7,2,2,1,1
"Crashes,",2,7,2,2,1,1
Steven,2,7,2,2,1,1
sighs.,2,7,2,2,1,1
There's,2,7,2,2,1,1
no,2,7,2,2,1,1
need,2,7,2,2,1,1
to,2,7,2,2,1,1
disturb,2,7,2,2,1,1
Margaretâ€¦,2,7,2,2,1,1
I'll,2,7,2,2,1,1
figure,2,7,2,2,1,1
it,2,7,2,2,1,1
out.,2,7,2,2,1,1
What,1,7,2,2,1,1
do,1,7,2,2,1,1
you,1,7,2,2,1,1
want,1,7,2,2,1,1
for,1,7,2,2,1,1
your,1,7,2,2,1,1
birthday.,1,7,2,2,1,1
he,3,5,1,2,1,1
asks.,3,5,1,2,1,1
I,2,7,2,2,1,1
want,2,7,2,2,1,1
you,2,7,2,2,1,1
to,2,7,2,2,1,1
start,2,7,2,2,1,1
telling,2,7,2,2,1,1
the,2,7,2,2,1,1
"truth,",2,7,2,2,1,1
says,2,7,2,2,1,1
Sasha,2,7,2,2,1,1
and,2,7,2,2,1,1
her,2,7,2,2,1,1
"voice,",2,7,2,2,1,1
for,2,7,2,2,1,1
the,2,7,2,2,1,1
first,2,7,2,2,1,1
"time,",2,7,2,2,1,1
is,2,7,2,2,1,1
breaking.,2,7,2,2,1,1
Your,1,6,2,2,1,1
duplicity,1,6,2,2,1,1
is,1,6,2,2,1,1
so,1,6,2,2,1,1
fucking,1,6,2,2,1,1
exhaustingâ€¦,1,6,2,2,1,1
Clara,2,7,2,2,1,1
stares,2,7,2,2,1,1
at,2,7,2,2,1,1
Jeannie,2,7,2,2,1,1
she,2,7,2,2,1,1
must,2,7,2,2,1,1
be,2,7,2,2,1,1
"what,",2,7,2,2,1,1
twenty,2,7,2,2,1,1
five.,2,7,2,2,1,1
Twenty,3,5,2,1,1,1
six.,3,5,2,1,1,1
So,2,7,2,1,1,1
in,2,7,2,1,1,1
love,2,7,2,1,1,1
with,2,7,2,1,1,1
this,2,7,2,1,1,1
baby,2,7,2,1,1,1
spitting,2,7,2,1,1,1
up,2,7,2,1,1,1
goo,2,7,2,1,1,1
on,2,7,2,1,1,1
her,2,7,2,1,1,1
lap.,2,7,2,1,1,1
And,2,7,2,1,2,1
"then,",2,7,2,1,2,1
the,2,7,2,1,2,1
moment,2,7,2,1,2,1
they,2,7,2,1,2,1
found,2,7,2,1,2,1
out,2,7,2,1,2,1
I,2,7,2,1,2,1
was,2,7,2,1,2,1
"pregnant,",2,7,2,1,2,1
Tommy's,2,7,2,1,2,1
parents,2,7,2,1,2,1
swept,2,7,2,1,2,1
in,2,7,2,1,2,1
and,2,7,2,1,2,1
erased,2,7,2,1,2,1
all,2,7,2,1,2,1
our,2,7,2,1,2,1
debt.,2,7,2,1,2,1
All,1,5,2,1,2,2
ten,1,5,2,1,2,2
thousand,1,5,2,1,2,2
dollars,1,5,2,1,2,2
in,1,5,2,1,2,2
one,1,5,2,1,2,2
check.,1,5,2,1,2,2
So,2,7,2,1,2,2
we,2,7,2,1,2,2
could,2,7,2,1,2,2
start,2,7,2,1,2,2
fresh,2,7,2,1,2,2
and,2,7,2,1,2,2
not,2,7,2,1,2,2
stressâ€¦,2,7,2,1,2,2
Amazing.,2,7,2,1,2,2
Just,3,5,2,1,1,1
amazing.,3,5,2,1,1,1
I,3,5,1,2,1,2
love,3,5,1,2,1,2
them.,3,5,1,2,1,2
That's,1,6,1,2,1,1
"great,",1,6,1,2,1,1
"Jeannie,",1,6,1,2,1,1
Clara,1,6,1,2,1,1
musters.,1,6,1,2,1,1
You,1,7,1,2,1,2
want,1,7,1,2,1,2
to,1,7,1,2,1,2
have,1,7,1,2,1,2
kids.,1,7,1,2,1,2
asks,3,5,2,2,1,1
Jeannie.,3,5,2,2,1,1
Still,1,6,2,1,1,1
pudgy,1,6,2,1,1,1
from,1,6,2,1,1,1
the,1,6,2,1,1,1
birth.,1,6,2,1,1,1
So,1,7,2,1,1,1
full,1,7,2,1,1,1
of,1,7,2,1,1,1
life,1,7,2,1,1,1
and,1,7,2,1,1,1
good,1,7,2,1,1,1
cheer.,1,7,2,1,1,1
Not,1,5,2,2,1,1
"yet,",1,5,2,2,1,1
Clara,1,5,2,2,1,1
says,1,5,2,2,1,1
stiffly.,1,5,2,2,1,1
Can't,1,7,2,1,1,1
afford,1,7,2,1,1,1
it,1,7,2,1,1,1
for,1,7,2,1,1,1
one.,1,7,2,1,1,1
Jeannie,2,7,2,2,1,1
looks,2,7,2,2,1,1
"up,",2,7,2,2,1,1
expecting,2,7,2,2,1,1
more,2,7,2,2,1,1
of,2,7,2,2,1,1
an,2,7,2,2,1,1
answer,2,7,2,2,1,1
I,2,7,2,2,1,1
don't,2,7,2,2,1,1
really,2,7,2,2,1,1
like,2,7,2,2,1,1
modern,2,7,2,2,1,1
"art,",2,7,2,2,1,1
installation,2,7,2,2,1,1
art.,2,7,2,2,1,1
I,2,7,2,2,1,1
don't,2,7,2,2,1,1
really,2,7,2,2,1,1
get,2,7,2,2,1,1
"it,",2,7,2,2,1,1
admits,2,7,2,2,1,1
Jeannie,2,7,2,2,1,1
Tommy,2,7,2,2,1,1
says,2,7,2,2,1,1
it's,2,7,2,2,1,1
an,2,7,2,2,1,1
incredible,2,7,2,2,1,1
opportunity,2,7,2,2,1,1
for,2,7,2,2,1,1
Gary.,2,7,2,2,1,1
A,2,7,2,1,1,1
chance,2,7,2,1,1,1
to,2,7,2,1,1,1
create,2,7,2,1,1,1
his,2,7,2,1,1,1
"own,",2,7,2,1,1,1
site,2,7,2,1,1,1
specific,2,7,2,1,1,1
"piece,",2,7,2,1,1,1
downtown,2,7,2,1,1,1
in,2,7,2,1,1,1
New,2,7,2,1,1,1
York.,2,7,2,1,1,1
We'll,3,6,2,2,2,2
"see,",3,6,2,2,2,2
Clara,3,6,2,2,2,2
says.,3,6,2,2,2,2
She,1,7,1,2,1,1
hates,1,7,1,2,1,1
Gary,1,7,1,2,1,1
for,1,7,1,2,1,1
making,1,7,1,2,1,1
her,1,7,1,2,1,1
the,1,7,1,2,1,1
killjoy.,1,7,1,2,1,1
She,2,7,1,2,1,2
takes,2,7,1,2,1,2
out,2,7,1,2,1,2
